SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1895131N11129,1895-05-10 18:00:00,11.2955,126.922,WP,MM
1895161N13116,1895-06-09 18:00:00,13.4252,116.062,WP,MM
1895180N17117,1895-06-28 18:00:00,17.2848,116.87,WP,MM
1895180N20124,1895-06-29 06:00:00,20.4024,124.264,WP,MM
1895199N16142,1895-07-18 06:00:00,15.8263,141.723,WP,MM
1895209N21114,1895-07-28 06:00:00,21.1773,113.675,WP,MM
1895227N18130,1895-08-14 18:00:00,17.8688,129.645,WP,MM
1895233N24128,1895-08-20 18:00:00,22.9844,128.143,WP,MM
1895240N19118,1895-08-28 06:00:00,19.449,117.781,WP,MM
1895244N17128,1895-08-31 18:00:00,17.4769,128.217,WP,MM
1895261N22122,1895-09-18 06:00:00,21.7089,122.03,WP,MM
1895266N19126,1895-09-22 18:00:00,19.3274,125.711,WP,MM
1895303N13120,1895-10-29 18:00:00,13.4526,119.28,WP,MM
1895305N16124,1895-11-01 06:00:00,16.6181,123.452,WP,MM
1895311N09136,1895-11-06 18:00:00,8.68443,135.545,WP,MM
1895312N13117,1895-11-08 06:00:00,12.9543,117.298,WP,MM
1896132N11121,1896-05-11 06:00:00,11.0502,120.611,WP,MM
1896158N06136,1896-06-05 18:00:00,8.06504,133.13,WP,MM
1896188N17124,1896-07-05 18:00:00,16.803,123.205,WP,MM
1896200N19146,1896-07-17 18:00:00,19.0773,143.454,WP,MM
1896206N18116,1896-07-23 18:00:00,18.4091,115.875,WP,MM
1896209N13137,1896-07-26 18:00:00,13.7782,135.119,WP,MM
1896214N09136,1896-07-31 18:00:00,9.5898,133.466,WP,MM
1896219N15128,1896-08-06 06:00:00,15.1489,127.9,WP,MM
1896228N22131,1896-08-14 18:00:00,22.1414,131.373,WP,MM
1896242N23138,1896-08-28 18:00:00,23.7511,137.738,WP,MM
1896246N21114,1896-09-01 18:00:00,20.9359,113.585,WP,MM
1896251N25136,1896-09-06 18:00:00,24.9487,136.1,WP,MM
1896258N16112,1896-09-13 18:00:00,15.6336,112.099,WP,MM
1896268N24119,1896-09-23 18:00:00,23.55,118.767,WP,MM
1896275N13118,1896-09-30 18:00:00,13.4638,117.733,WP,MM
1896277N16126,1896-10-03 06:00:00,16.0703,125.404,WP,MM
1896282N15125,1896-10-08 06:00:00,15.3593,124.703,WP,MM
1896304N12117,1896-10-29 18:00:00,12.4756,116.078,WP,MM
1897184N20117,1897-07-03 06:00:00,20.4667,116.566,WP,MM
1897205N17117,1897-07-23 18:00:00,17.2984,117.152,WP,MM
1897209N23126,1897-07-27 18:00:00,22.9334,125.591,WP,MM
1897219N20129,1897-08-06 18:00:00,20.2612,128.634,WP,MM
1897251N24132,1897-09-07 18:00:00,24.816,131.996,WP,MM
1897257N16123,1897-09-14 06:00:00,16.1621,122.253,WP,MM
1897269N20124,1897-09-26 06:00:00,20.2213,123.918,WP,MM
1897276N15119,1897-10-03 06:00:00,15.4181,118.74,WP,MM
1897279N20132,1897-10-05 18:00:00,19.9383,131.959,WP,MM
1897285N11125,1897-10-12 06:00:00,11.2185,124.175,WP,MM
1897291N11119,1897-10-18 06:00:00,11.1689,118.084,WP,MM
1897295N19129,1897-10-21 18:00:00,18.5248,129.164,WP,MM
1897318N09121,1897-11-14 06:00:00,9.31102,120.59,WP,MM
1898014N09113,1898-01-13 18:00:00,8.53708,112.372,WP,MM
1898178N16116,1898-06-26 18:00:00,15.7727,115.667,WP,MM
1898178N16129,1898-06-27 06:00:00,16.5944,128.521,WP,MM
1898194N22123,1898-07-12 18:00:00,21.8982,122.607,WP,MM
1898205N28134,1898-07-23 18:00:00,27.7837,133.452,WP,MM
1898207N15118,1898-07-25 18:00:00,14.7671,118.204,WP,MM
1898213N16128,1898-07-31 18:00:00,16.6389,126.252,WP,MM
1898216N18131,1898-08-03 18:00:00,18.7269,129.877,WP,MM
1898223N19116,1898-08-11 06:00:00,19.257,116.371,WP,MM
1898227N18125,1898-08-15 06:00:00,17.5563,124.913,WP,MM
1898232N16126,1898-08-19 18:00:00,16.1978,126.204,WP,MM
1898238N25130,1898-08-25 18:00:00,24.5883,129.871,WP,MM
1898272N16132,1898-09-28 18:00:00,16.8881,131.05,WP,MM
1898276N15112,1898-10-03 06:00:00,15.19,112.254,WP,MM
1898287N16118,1898-10-14 06:00:00,16.0608,117.86,WP,MM
1898297N15123,1898-10-23 18:00:00,15.3946,123.096,WP,MM
1898303N15118,1898-10-30 06:00:00,15.4212,118.244,WP,MM
1898315N15123,1898-11-10 18:00:00,14.9037,123.351,WP,MM
1898324N15120,1898-11-19 18:00:00,14.9416,120.208,WP,MM
1899144N15116,1899-05-24 06:00:00,15.0931,116.135,WP,MM
1899180N15115,1899-06-29 06:00:00,15.5845,114.733,WP,MM
1899184N17129,1899-07-02 18:00:00,17.4985,128.66,WP,MM
1899195N18114,1899-07-13 18:00:00,18.1487,114.163,WP,MM
1899196N19137,1899-07-14 18:00:00,19.2012,135.861,WP,MM
1899215N18130,1899-08-02 18:00:00,18.0582,129.916,WP,MM
1899220N22133,1899-08-07 18:00:00,22.1495,132.292,WP,MM
1899226N20133,1899-08-13 18:00:00,21.922,132.008,WP,MM
1899232N18130,1899-08-19 18:00:00,18.4266,129.778,WP,MM
1899240N20136,1899-08-27 18:00:00,22.0038,134.858,WP,MM
1899250N22133,1899-09-06 18:00:00,22.9248,132.25,WP,MM
1899262N28124,1899-09-18 18:00:00,27.8506,124.082,WP,MM
1899266N25133,1899-09-22 18:00:00,25.119,133.044,WP,MM
1899273N18127,1899-09-30 06:00:00,17.5781,126.922,WP,MM
1899278N22133,1899-10-04 18:00:00,22.3314,133.027,WP,MM
1899288N26135,1899-10-14 18:00:00,26.05,134.765,WP,MM
1899309N12117,1899-11-04 18:00:00,11.938,116.734,WP,MM
1899313N12124,1899-11-08 18:00:00,12.2354,123.871,WP,MM
1899318N14125,1899-11-13 18:00:00,13.512,124.712,WP,MM
1900171N15117,1900-06-19 18:00:00,15.437,117.245,WP,MM
1900184N16127,1900-07-02 18:00:00,16.3602,126.401,WP,MM
1900228N19126,1900-08-16 06:00:00,19.3724,126.145,WP,MM
1900231N19121,1900-08-19 06:00:00,19.2015,120.404,WP,MM
1900231N19143,1900-08-18 18:00:00,18.5166,142.533,WP,MM
1900236N20123,1900-08-23 18:00:00,19.7859,123.277,WP,MM
1900238N15118,1900-08-25 18:00:00,15.3708,117.725,WP,MM
1900250N15122,1900-09-07 06:00:00,15.1556,121.94,WP,MM
1900254N25134,1900-09-11 06:00:00,25.0658,133.574,WP,MM
1900267N10126,1900-09-23 18:00:00,10.1709,125.749,WP,MM
1900268N20128,1900-09-24 18:00:00,20.6143,127.729,WP,MM
1900273N09124,1900-09-29 18:00:00,9.00058,124.13,WP,MM
1900279N13126,1900-10-05 18:00:00,12.4268,125.332,WP,MM
1900286N13125,1900-10-12 18:00:00,13.0094,124.519,WP,MM
1900292N17125,1900-10-18 18:00:00,17.4088,125.065,WP,MM
1900303N12129,1900-10-30 06:00:00,11.715,128.305,WP,MM
1900309N11128,1900-11-04 18:00:00,11.2377,128.227,WP,MM
1900320N21127,1900-11-15 18:00:00,21.1851,127.459,WP,MM
1901034N06115,1901-02-02 18:00:00,6.26012,114.643,WP,MM
1901135N11128,1901-05-14 18:00:00,11.091,127.141,WP,MM
1901153N22128,1901-06-01 18:00:00,21.8006,128.198,WP,MM
1901212N23132,1901-07-30 18:00:00,23.0041,132.092,WP,MM
1901228N17115,1901-08-15 18:00:00,16.5219,115.274,WP,MM
1901234N20129,1901-08-21 18:00:00,20.0431,128.839,WP,MM
1901257N20132,1901-09-13 18:00:00,20.4355,132.228,WP,MM
1901274N08132,1901-09-30 18:00:00,9.33258,131.196,WP,MM
